keyword,count
ValueError,151
ground truth,144
Query,106
result,106
no such column,97
TypeError,93
list,77
AttributeError,69
int,62
no such table,62
KeyError,51
str,50
dict,50
DataFrame,48
test_case_6,47
Lists,47
NameError,45
string,39
Query result,38
float,35
__init__,34
array,34
patched,33
test_case_7,31
__getitem__,28
IndexError,28
builtins,27
tuple,26
FileNotFoundError,24
get_loc,23
None,22
dtype,21
assert_frame_equal,21
bool,20
test_case_8,18
test_return_type,18
columns,17
raise_assert_detail,16
test_case_9,16
fit_transform,15
assert_series_equal,15
NoneType,15
_worker,15
module,14
index,14
File,14
line,14
object,13
exec,13
data,12
check_array,12
integer,11
Exception,11
listcomp,11
False,11
test_empty_file,11
Ref_TemplateTypes,11
fit,10
_validate_data,10
compiled,10
globs,10
DegreePrograms,10
setUp,9
bytes-like object,9
wrapped,9
true,9
assert_array_compare,9
Counter,9
RuntimeError,8
Series,8
Index,8
iloc,8
column,8
axis,8
test_default_parameters,8
PyObjectHashTable,8
test_normal_functionality,8
Axes,7
X,7
assert_attr_equal,7
__call__,7
datetime.datetime,7
test_basic_functionality,7
plot,7
MagicMock,7
assert_almost_equal,7
integers,7
Tuples,7
EmptyDataError,7
read_csv,7
_read,7
TextFileReader,7
_make_engine,7
partial_fit,7
test_case_10,7
func,7
test_rng,7
test_empty_string,7
TVChannel,7
assert_called_with,6
numpy.ndarray,6
apply,6
mean,6
arrays,6
test_plot_title,6
Test execution,6
timed out,6
test_valid_input,6
test_empty_dataframe,6
slices,6
__cinit__,6
test_case_11,6
dict_to_mgr,6
arrays_to_mgr,6
_extract_index,6
OSError,6
run,5
bytes,5
inner,5
std,5
min,5
__getattr__,5
_finalize_columns_and_data,5
nested_data_to_arrays,5
to_arrays,5
assert_numpy_array_equal,5
_raise,5
_strptime,5
data_string,5
test_plot_attributes,5
ModuleNotFoundError,5
assert_array_almost_equal,5
test_return_types,5
test_2,5
test_5,5
List,5
_count_vocab,5
raw_documents,5
vocabulary,5
sample,5
function,5
TextReader,5
set,5
__enter__,5
shapes,5
newargs,5
newkeywargs,5
open,5
rt.Template_Code,5
orchastra,5
<listcomp>,4
CalledProcessError,4
assert_called_once_with,4
json,4
_fit,4
nan,4
n_samples,4
_validate_or_indexify_columns,4
assert_index_equal,4
_strptime_datetime,4
format,4
get_root_path,4
True,4
generate,4
dictionary,4
test_custom_parameters,4
JSONDecodeError,4
loads,4
decode,4
tearDown,4
test_3,4
test_4,4
dumps,4
_get_indexer_strict,4
_raise_if_missing,4
sequence,4
assert_array_equal,4
test_case_12,4
parse,4
numpy.float64,4
test_empty_list,4
decoration_helper,4
get_original,4
test_empty_input,4
test_empty_csv,4
base,4
test_1,4
ambiguous column name,4
Template_Code,4
misuse,4
Enrolment,4
se.course_id,4
p.Name,4
p.role,4
TreatmentTypes,4
headers,3
hist,3
max,3
matplotlib.axes._axes.Axes,3
shape,3
test_reproducibility_with_seed,3
timedelta,3
test_app_instance,3
Flask,3
test_dataframe_structure,3
test_plot_titles,3
test_value,3
prepare_markup,3
UnicodeDammit,3
encodings,3
find_declared_encoding,3
binascii.Error,3
Non-hexadecimal digit,3
delta,3
FAIL,3
_post_plot_logic,3
test_empty_text,3
labels,3
call,3
ERROR,3
group,3
int64,3
values,3
_asarray_with_order,3
test_large_dataset,3
value,3
encode,3
default,3
